neighbourhood_cleansed,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy
Downtown/Civic Center,94102,Aparthotel,Private room,2,1,0,1,Real Bed,$70.00,,,,$25.00,1,$0.00,1,21,42,7,2/1/17,9/21/19,87,9,9,10,9,10,9,flexible
Inner Sunset,94131,Apartment,Entire home/apt,4,1,2,2,Real Bed,$329.00,,,,$75.00,4,$50.00,2,1125,48,18,3/2/17,9/24/19,98,10,10,10,10,10,9,moderate
Downtown/Civic Center,94109,Aparthotel,Private room,1,1,1,1,Real Bed,$132.00,,,$200.00,,1,$0.00,32,1125,33,6,3/4/17,9/24/19,96,10,10,10,10,10,9,strict_14_with_grace_period
Western Addition,94117,House,Private room,4,1,1,2,Real Bed,$110.00,,,$0.00,$25.00,1,$25.00,1,1125,106,49,2/5/17,9/27/19,94,9,9,10,10,10,9,moderate
South of Market,94103,Boutique hotel,Hotel room,2,4,1,1,Real Bed,$119.00,,,$150.00,$50.00,2,$20.00,7,1125,17,5,2/5/17,9/21/19,80,9,9,9,8,8,9,strict_14_with_grace_period
Downtown/Civic Center,94109,Aparthotel,Private room,1,1,1,1,Real Bed,$115.00,,,$200.00,,1,$0.00,32,1125,39,11,3/4/17,9/30/19,91,9,9,10,10,10,9,strict_14_with_grace_period
Lakeshore,94132,House,Private room,2,1,1,1,Real Bed,$88.00,,,,$45.00,1,$0.00,1,12,183,71,2/26/17,10/13/19,99,10,10,10,10,10,10,moderate
Nob Hill,94108,Apartment,Private room,2,1,1,1,Real Bed,$61.00,,,$150.00,$70.00,1,$8.00,30,360,64,2,3/24/17,2/15/19,96,10,10,10,10,10,9,strict_14_with_grace_period
Nob Hill,94109,Apartment,Entire home/apt,2,1,1,1,Real Bed,$148.00,,,"$1,200.00",$150.00,1,$0.00,30,365,7,2,4/2/17,8/10/19,97,10,10,10,10,9,10,moderate
Downtown/Civic Center,94102,Aparthotel,Private room,2,1,0,1,Real Bed,$70.00,,,,$25.00,1,$0.00,1,21,22,5,2/20/17,9/6/19,84,9,9,9,9,9,9,flexible
Downtown/Civic Center,94102,Aparthotel,Private room,2,1,1,1,Real Bed,$70.00,,,,$25.00,1,$0.00,1,21,29,6,2/13/17,9/2/19,88,9,9,10,9,10,9,flexible
Mission,94103,Condominium,Entire home/apt,1,1,0,1,Real Bed,$125.00,,,$250.00,$65.00,1,$0.00,5,1120,95,35,3/2/17,10/11/19,97,10,10,10,10,10,9,moderate
Downtown/Civic Center,94102,Apartment,Private room,2,1,1,1,Real Bed,$75.00,,,,$25.00,1,$0.00,1,21,23,6,4/20/17,9/6/19,85,9,9,9,8,10,9,flexible
Pacific Heights,94115,House,Private room,2,1,1,1,Real Bed,$186.00,,,,$35.00,1,$0.00,4,30,13,5,5/1/17,9/24/19,100,10,10,10,10,10,10,strict_14_with_grace_period
Downtown/Civic Center,94102,Apartment,Private room,2,1,1,1,Real Bed,$75.00,,,,$25.00,1,$0.00,1,21,16,1,4/4/17,9/5/19,81,9,8,9,9,10,8,flexible
South of Market,94103,Boutique hotel,Hotel room,2,4,1,1,Real Bed,$119.00,,,$150.00,$35.00,2,$20.00,7,1125,21,4,2/19/17,9/25/19,85,9,9,9,9,9,9,strict_14_with_grace_period
Bernal Heights,94110,Apartment,Entire home/apt,4,1,2,3,Real Bed,$238.00,,,$250.00,$149.00,4,$50.00,3,1125,46,22,2/17/17,10/5/19,95,10,9,10,10,10,9,strict_14_with_grace_period
Bernal Heights,94110,House,Entire home/apt,4,1,2,3,Real Bed,$225.00,,,$300.00,,1,$0.00,2,5,56,24,4/18/17,10/7/19,99,10,10,10,10,10,10,flexible
Nob Hill,94109,Apartment,Private room,1,1,1,1,Real Bed,$60.00,,,,$80.00,1,$0.00,30,1125,3,1,5/4/17,6/14/19,100,10,9,10,10,10,10,strict_14_with_grace_period
Downtown/Civic Center,94109,Apartment,Entire home/apt,2,1,0,1,Real Bed,$160.00,,,$300.00,$75.00,1,$25.00,30,180,91,3,2/13/17,8/25/19,96,10,10,9,9,9,9,strict_14_with_grace_period
Downtown/Civic Center,94109,Apartment,Private room,3,0,1,1,Real Bed,$110.00,,,,,1,$0.00,2,1125,24,7,5/21/17,10/6/19,91,9,9,10,10,9,9,flexible
Downtown/Civic Center,94102,Serviced apartment,Hotel room,2,1,0,1,Real Bed,$75.00,,,$0.00,$75.00,1,$0.00,2,7,1,1,1/10/19,1/10/19,100,10,10,10,10,10,10,strict_14_with_grace_period
Outer Mission,94112,House,Private room,3,2,1,2,Real Bed,$65.00,,,$700.00,$120.00,1,$25.00,30,1125,2,1,8/13/18,8/25/19,100,10,9,10,10,9,8,moderate
South of Market,94103,Apartment,Private room,2,1,1,1,Real Bed,$113.00,,,$300.00,$80.00,1,$20.00,2,1125,144,48,3/21/17,10/13/19,99,10,10,10,10,10,9,moderate
South of Market,94103,Loft,Entire home/apt,3,1,1,1,Real Bed,$250.00,,,$500.00,$135.00,3,$0.00,30,180,81,15,3/2/17,6/30/19,96,10,10,10,10,10,9,moderate
Mission,94110,House,Private room,2,2.5,1,1,Real Bed,$35.00,,,$0.00,$10.00,1,$20.00,30,1125,103,70,3/2/17,8/14/19,87,9,8,10,10,9,8,strict_14_with_grace_period
Mission,94110,House,Private room,2,2.5,1,1,Real Bed,$39.00,,,,$10.00,1,$20.00,30,1125,156,74,3/22/17,8/5/19,84,9,7,10,10,9,9,strict_14_with_grace_period
Mission,94110,House,Private room,3,2.5,1,2,Real Bed,$39.00,,,$0.00,$10.00,1,$20.00,30,1125,165,73,5/10/17,8/8/19,84,9,8,10,9,9,8,strict_14_with_grace_period
South of Market,94103,House,Shared room,4,3,1,4,Real Bed,$33.00,,,$0.00,$25.00,1,$40.00,180,1125,2,0,5/11/17,8/13/17,90,9,6,10,8,10,9,strict_14_with_grace_period
Glen Park,94131,House,Private room,1,1,1,1,Real Bed,$100.00,,,$250.00,$0.00,1,$0.00,3,10,36,12,5/4/17,9/30/19,98,10,10,10,10,10,10,moderate
Bayview,94124,House,Private room,3,2,1,3,Real Bed,$70.00,,,$300.00,,2,$10.00,30,60,4,2,5/27/17,8/18/19,75,8,6,9,9,8,7,moderate
Mission,94110,Apartment,Entire home/apt,2,1,0,1,Real Bed,$87.00,,,"$1,500.00",$88.00,1,$0.00,30,1125,7,2,9/6/17,6/30/19,89,9,9,9,10,9,9,strict_14_with_grace_period
Inner Sunset,94122,Apartment,Entire home/apt,4,1,1,1,Real Bed,$152.00,,,$0.00,$150.00,2,$120.00,5,1125,7,5,11/15/17,7/22/19,94,9,10,10,10,10,9,flexible
Russian Hill,94109,Resort,Private room,4,1,1,2,Real Bed,$140.00,,,,,1,$0.00,1,1125,49,29,3/1/17,8/29/19,98,10,10,10,10,10,9,strict_14_with_grace_period
North Beach,94133,Apartment,Entire home/apt,4,2,2,2,Real Bed,$450.00,,,"$1,000.00",$150.00,1,$0.00,2,1125,42,8,3/10/17,10/5/19,99,10,10,10,10,10,9,strict_14_with_grace_period
Mission,94110,House,Private room,4,1,2,2,Real Bed,$220.00,,,$200.00,$80.00,4,$0.00,1,5,163,61,2/26/17,9/24/19,96,10,10,10,10,10,9,moderate
Noe Valley,94114,House,Private room,2,1,1,1,Real Bed,$100.00,,,,$50.00,1,$0.00,3,27,3,0,6/5/17,9/8/18,100,10,9,10,10,9,9,moderate
South of Market,,Apartment,Private room,2,1,0,1,Real Bed,$180.00,,,$180.00,$80.00,2,$45.00,3,1125,37,29,7/28/18,9/25/19,99,10,10,10,10,10,10,strict_14_with_grace_period
Haight Ashbury,94117,Apartment,Entire home/apt,6,2,3,3,Real Bed,$825.00,,,$0.00,$200.00,6,$145.00,2,1125,3,0,11/10/17,9/28/18,100,10,10,10,10,10,9,moderate
Outer Sunset,94122,House,Private room,4,1,1,2,Real Bed,$100.00,,,$200.00,$40.00,2,$20.00,2,1125,174,63,3/5/17,10/6/19,93,10,9,10,10,10,9,flexible
Inner Richmond,94118,House,Entire home/apt,4,2,2,2,Real Bed,$167.00,,,$500.00,$235.00,4,$25.00,30,180,76,3,3/11/17,8/11/19,96,10,10,10,10,10,10,strict_14_with_grace_period
Bernal Heights,94110,Guest suite,Entire home/apt,2,1,1,1,Real Bed,$140.00,,,$250.00,$75.00,2,$200.00,3,60,145,40,2/24/17,10/6/19,98,10,10,10,10,10,10,moderate
Castro/Upper Market,94117,Apartment,Entire home/apt,3,1,1,2,Real Bed,$132.00,,,$0.00,$100.00,3,$0.00,30,90,107,18,3/16/17,2/1/19,99,10,10,10,10,10,10,moderate
Haight Ashbury,94117,Hostel,Hotel room,2,1,1,1,Real Bed,$100.00,,,$0.00,$35.00,1,$15.00,1,25,151,47,3/2/17,10/5/19,94,9,9,10,10,10,9,moderate
Haight Ashbury,94117,Hostel,Hotel room,1,5,1,1,Real Bed,$50.00,,,$0.00,$15.00,1,$0.00,1,23,80,38,3/5/17,10/3/19,95,10,9,10,10,10,10,moderate
Castro/Upper Market,94114,Condominium,Entire home/apt,4,1,2,2,Real Bed,$250.00,,,$750.00,$130.00,1,$0.00,30,180,31,18,5/19/17,9/10/19,99,10,9,10,10,10,10,strict_14_with_grace_period
West of Twin Peaks,94112,Apartment,Private room,2,1,1,1,Real Bed,$75.00,,,$0.00,$30.00,1,$5.00,3,31,63,10,3/21/17,3/23/19,98,10,10,10,10,9,10,moderate
Excelsior,94110,Apartment,Entire home/apt,4,1,2,2,Real Bed,$150.00,,,,,1,$0.00,30,30,7,0,5/1/17,8/17/18,89,9,8,9,9,9,9,flexible
Outer Sunset,94122,House,Private room,2,1,2,2,Real Bed,$150.00,,,"$1,000.00",$185.00,2,$120.00,30,1125,0,0,,,,,,,,,,flexible
Castro/Upper Market,94114,Apartment,Entire home/apt,2,1.5,0,1,Real Bed,$250.00,,,$200.00,$80.00,2,$50.00,3,1125,91,31,3/16/17,9/25/19,99,10,10,10,10,10,9,strict_14_with_grace_period
Outer Sunset,94116,House,Shared room,1,1,1,1,Real Bed,$32.00,,,,,1,$0.00,2,1125,110,11,3/4/17,10/4/19,96,10,9,10,9,10,9,strict_14_with_grace_period
Outer Sunset,94122,Apartment,Entire home/apt,4,1,1,1,Real Bed,$259.00,,,$200.00,$50.00,2,$20.00,2,90,96,37,3/19/17,10/1/19,99,10,10,10,10,10,10,flexible
Downtown/Civic Center,94102,Hostel,Private room,2,8,0,2,Real Bed,$70.00,,,,,1,$0.00,1,21,70,35,3/19/17,9/1/19,78,9,8,10,9,7,8,flexible
Downtown/Civic Center,94102,Hostel,Private room,2,8,0,2,Real Bed,$70.00,,,,,1,$0.00,1,31,43,5,2/26/17,8/28/19,70,8,7,9,9,6,7,flexible
Bernal Heights,94110,Apartment,Private room,1,1,1,1,Real Bed,$128.00,,,$300.00,$50.00,1,$25.00,30,90,2,1,10/10/18,9/2/19,90,9,8,9,9,8,9,strict_14_with_grace_period
Russian Hill,94109,Guest suite,Entire home/apt,4,1,1,2,Real Bed,$200.00,,,$200.00,$50.00,1,$0.00,3,28,132,57,6/10/17,10/3/19,99,10,10,10,10,10,10,strict_14_with_grace_period
South of Market,94107,Condominium,Entire home/apt,2,1,0,1,Real Bed,$116.00,,,$800.00,$425.00,1,$0.00,30,365,5,3,8/25/17,9/7/19,100,10,10,10,10,10,10,strict_14_with_grace_period
Outer Sunset,94122,House,Entire home/apt,4,1,2,2,Real Bed,$139.00,,,,$75.00,1,$0.00,1,24,249,104,3/24/17,10/11/19,97,10,10,10,10,10,9,strict_14_with_grace_period
Downtown/Civic Center,94109,Aparthotel,Private room,1,1,1,1,Real Bed,$116.00,,,$200.00,,1,$0.00,32,1125,22,13,4/4/17,10/1/19,93,10,9,10,10,10,10,strict_14_with_grace_period
Downtown/Civic Center,94109,Aparthotel,Private room,1,1,1,1,Real Bed,$105.00,,,$200.00,,1,$0.00,32,1125,12,9,5/17/17,10/5/19,92,10,9,10,10,10,9,strict_14_with_grace_period
Downtown/Civic Center,94109,Aparthotel,Private room,1,1,1,1,Real Bed,$100.00,,,$200.00,,1,$0.00,32,1125,32,6,5/8/17,9/6/19,98,10,10,10,10,10,10,strict_14_with_grace_period
Excelsior,94112,Guest suite,Entire home/apt,3,1,0,2,Real Bed,$100.00,,,$300.00,$50.00,2,$40.00,2,30,124,47,2/27/17,10/7/19,97,10,10,10,10,9,10,moderate
Haight Ashbury,94117,Apartment,Private room,2,1,1,1,Real Bed,$150.00,,,$250.00,$25.00,1,$0.00,3,30,93,9,3/13/17,3/6/19,99,10,10,10,10,10,10,strict_14_with_grace_period
Outer Mission,94112,Guest suite,Entire home/apt,2,1,0,1,Real Bed,$130.00,,,$100.00,$85.00,1,$0.00,2,28,161,64,7/7/17,10/11/19,100,10,10,10,10,10,10,moderate
Haight Ashbury,94117,Hostel,Hotel room,2,1,1,1,Real Bed,$100.00,,,$0.00,$35.00,1,$15.00,1,25,146,69,4/18/17,10/7/19,94,10,9,10,10,10,9,moderate
Inner Sunset,94122,House,Entire home/apt,8,2.5,3,3,Real Bed,$498.00,,,$500.00,$250.00,1,$0.00,3,1125,14,8,6/24/17,10/7/19,100,10,10,10,10,10,9,strict_14_with_grace_period
Chinatown,94108,Hotel,Private room,2,1,0,1,Real Bed,"$1,000.00",,,,,1,$0.00,3,7,2,0,7/13/17,11/9/17,100,8,10,10,10,10,10,strict_14_with_grace_period
West of Twin Peaks,94127,Apartment,Entire home/apt,2,1,0,1,Real Bed,$140.00,,,$500.00,$200.00,1,$0.00,30,1125,61,6,4/2/17,9/1/19,99,10,10,10,10,10,10,moderate
Outer Sunset,94122,Apartment,Entire home/apt,6,1,2,3,Real Bed,$209.00,,,$0.00,$120.00,2,$15.00,2,1125,158,62,5/8/17,10/7/19,94,10,10,10,10,10,9,strict_14_with_grace_period
Mission,94110,Condominium,Private room,2,1,1,1,Real Bed,$175.00,,,$300.00,$50.00,2,$15.00,1,4,22,10,3/11/17,9/28/19,100,10,10,10,10,10,10,strict_14_with_grace_period
Noe Valley,94114,House,Entire home/apt,4,1,2,2,Real Bed,$325.00,,,$0.00,$150.00,1,$0.00,2,29,79,29,8/19/17,9/13/19,99,10,10,10,10,10,9,moderate
Bayview,94124,Bungalow,Private room,2,1,1,2,Real Bed,$60.00,,,$100.00,$40.00,1,$25.00,1,90,146,30,2/28/17,10/2/19,93,9,9,10,10,9,9,strict_14_with_grace_period
Pacific Heights,94115,Apartment,Entire home/apt,4,1.5,1,2,Real Bed,$200.00,,,$0.00,$100.00,2,$25.00,30,180,108,20,3/12/17,3/2/19,99,10,10,10,10,10,10,strict_14_with_grace_period
Western Addition,94117,House,Entire home/apt,5,1,2,2,Real Bed,$250.00,,,$750.00,$663.00,3,$25.00,30,1125,8,2,5/20/17,9/25/19,100,10,10,10,10,10,9,flexible
Bayview,94124,House,Private room,2,1.5,1,1,Real Bed,$50.00,,,,$40.00,1,$20.00,1,30,120,24,3/3/17,9/22/19,96,10,10,10,10,9,10,strict_14_with_grace_period
Financial District,94107,Apartment,Private room,2,1,1,1,Real Bed,$500.00,,,$0.00,$29.00,1,$50.00,1,4,11,2,3/12/17,4/10/19,100,10,10,10,10,10,10,strict_14_with_grace_period
Bayview,94124,House,Private room,2,2,1,1,Real Bed,$65.00,,,$300.00,$45.00,1,$0.00,30,45,4,0,8/15/17,10/7/18,90,9,9,10,10,9,9,moderate
Downtown/Civic Center,94109,Apartment,Private room,1,0,1,1,Real Bed,$70.00,,,,,1,$0.00,2,1125,104,52,3/4/17,10/6/19,91,10,9,10,10,10,9,flexible
Downtown/Civic Center,94109,Apartment,Private room,2,1,0,1,Real Bed,$95.00,,,,,1,$0.00,2,1125,60,28,5/24/17,10/2/19,90,9,9,10,10,9,9,flexible
Castro/Upper Market,94114,House,Entire home/apt,5,3,3,3,Real Bed,$250.00,,,$500.00,$150.00,5,$30.00,3,1125,3,0,4/12/17,5/4/18,100,9,10,9,9,9,9,moderate
Mission,94110,House,Entire home/apt,6,1,3,3,Real Bed,$400.00,,,$500.00,$150.00,3,$25.00,1,1125,7,6,9/1/17,10/12/19,100,10,10,10,10,10,10,strict_14_with_grace_period
Bayview,94124,House,Private room,2,1.5,1,1,Real Bed,$36.00,,,$0.00,$50.00,1,$25.00,2,30,99,29,3/20/17,10/3/19,98,10,10,10,10,9,10,strict_14_with_grace_period
Parkside,94116,Apartment,Entire home/apt,4,1,2,2,Real Bed,$160.00,,,$200.00,$60.00,2,$25.00,3,30,102,34,3/17/17,9/28/19,94,10,9,10,10,9,9,moderate
Russian Hill,94109,Apartment,Private room,2,1.5,1,1,Real Bed,$200.00,,,$0.00,$30.00,1,$0.00,31,45,7,0,3/19/17,1/11/18,100,10,10,10,10,10,10,strict_14_with_grace_period
Outer Sunset,94116,House,Shared room,1,1,1,1,Real Bed,$32.00,,,,,1,$0.00,2,1125,155,44,3/20/17,10/12/19,96,10,10,10,10,10,10,strict_14_with_grace_period
Bernal Heights,94110,Apartment,Private room,2,1,1,1,Real Bed,$60.00,,,,$25.00,1,$0.00,2,14,141,58,3/10/17,10/11/19,98,10,10,10,10,10,10,strict_14_with_grace_period
Inner Sunset,94122,House,Entire home/apt,6,2,3,4,Real Bed,$150.00,,,,,1,$0.00,5,8,1,0,7/16/17,7/16/17,100,10,10,10,10,10,10,flexible
Bayview,94124,House,Private room,2,1,1,1,Real Bed,$61.00,,,$100.00,$40.00,1,$25.00,1,1125,99,32,6/1/17,10/5/19,96,10,10,10,10,9,10,strict_14_with_grace_period
Inner Sunset,94122,Apartment,Entire home/apt,5,2,3,4,Real Bed,$275.00,,,"$1,400.00",$165.00,5,$50.00,3,30,11,5,4/2/17,2/25/19,100,10,10,10,10,10,10,moderate
Outer Richmond,94121,Guest suite,Entire home/apt,6,1,1,3,Real Bed,$200.00,,,$500.00,$150.00,2,$75.00,3,14,116,51,4/4/17,10/7/19,99,10,10,10,10,10,10,moderate
Marina,94123,Apartment,Entire home/apt,2,1,0,1,Real Bed,$154.00,,,"$1,500.00",$75.00,2,$150.00,30,1125,23,5,4/9/17,9/13/19,99,10,10,10,10,10,10,strict_14_with_grace_period
Bayview,94124,House,Private room,2,1,1,1,Real Bed,$99.00,,,$200.00,$0.00,1,$15.00,2,21,121,30,3/22/17,10/13/19,100,10,10,10,10,9,10,moderate
Noe Valley,94114,Apartment,Entire home/apt,2,1,1,1,Real Bed,$200.00,,,"$4,000.00",$0.00,1,$0.00,30,1125,2,0,6/2/17,8/17/17,100,10,10,10,10,10,10,flexible
Outer Sunset,94122,House,Entire home/apt,8,2,2,4,Real Bed,$199.00,,,,,4,$0.00,2,1125,127,38,4/22/17,8/26/19,85,9,8,10,9,9,9,moderate
Mission,94110,Apartment,Entire home/apt,3,1,1,1,Real Bed,$135.00,,,$0.00,$200.00,1,$0.00,30,1125,0,0,,,,,,,,,,strict_14_with_grace_period
Mission,94110,House,Private room,1,1,0,1,Real Bed,$100.00,,,,,1,$0.00,180,1125,0,0,,,,,,,,,,flexible
Noe Valley,94110,Condominium,Private room,2,1,1,1,Real Bed,$125.00,,,"$1,000.00",$70.00,1,$0.00,3,1125,3,0,5/12/17,3/23/18,100,10,10,10,10,10,10,moderate
Excelsior,94112,House,Private room,2,1,1,1,Real Bed,$55.00,,,$100.00,$40.00,1,$7.00,2,90,87,28,4/9/17,9/28/19,94,10,9,9,10,9,9,moderate
Downtown/Civic Center,,Loft,Entire home/apt,2,1,1,2,Real Bed,$125.00,,,$200.00,$120.00,2,$0.00,30,90,6,1,3/13/17,8/12/19,90,9,9,10,10,8,9,strict_14_with_grace_period
Noe Valley,94131,House,Entire home/apt,6,1,3,4,Real Bed,$299.00,,,$500.00,$200.00,4,$25.00,30,283,79,9,4/5/17,9/30/19,97,10,10,10,10,10,10,moderate
Nob Hill,94109,Apartment,Private room,1,1,1,1,Real Bed,$70.00,,,$200.00,$80.00,1,$20.00,30,1125,2,0,12/23/17,6/8/18,90,9,8,10,10,10,9,strict_14_with_grace_period
Mission,94110,Condominium,Entire home/apt,6,2,2,4,Real Bed,$400.00,,,"$1,000.00",$150.00,1,$0.00,3,1094,15,5,7/9/17,9/2/19,99,10,10,10,10,10,9,strict_14_with_grace_period
Nob Hill,94109,Apartment,Private room,2,1,1,1,Real Bed,$76.00,,,$200.00,$80.00,1,$20.00,30,1125,1,0,9/2/18,9/2/18,100,10,6,10,10,10,8,strict_14_with_grace_period
Nob Hill,94109,Apartment,Private room,2,1,1,1,Real Bed,$76.00,,,$200.00,$80.00,1,$20.00,30,1125,1,0,12/10/17,12/10/17,100,10,10,10,10,8,8,strict_14_with_grace_period
Bernal Heights,94110,Guest suite,Entire home/apt,3,1,0,1,Real Bed,$118.00,,,$150.00,$75.00,3,$20.00,2,100000,100,39,6/25/17,10/9/19,98,10,10,10,10,10,10,moderate
North Beach,94133,Apartment,Private room,1,1.5,1,1,Real Bed,$60.00,,,,$125.00,1,$0.00,30,1125,31,1,3/18/17,5/20/19,97,10,9,10,10,10,10,strict_14_with_grace_period
Bernal Heights,94110,Bungalow,Entire home/apt,2,1,1,2,Real Bed,$150.00,,,$500.00,$160.00,2,$50.00,7,1125,3,0,7/8/17,7/30/17,100,10,10,10,10,9,10,moderate
Mission,94110,Apartment,Private room,1,1,1,1,Real Bed,$92.00,,,$100.00,$35.00,1,$30.00,7,29,49,13,5/12/17,10/11/19,97,10,10,10,10,10,10,strict_14_with_grace_period
Marina,94123,House,Entire home/apt,6,3.5,3,3,Real Bed,"$1,295.00",,,"$1,000.00",$400.00,1,$0.00,30,365,0,0,,,,,,,,,,strict_14_with_grace_period
Glen Park,94131,Townhouse,Entire home/apt,4,1,2,2,Real Bed,$200.00,,,$200.00,$100.00,4,$50.00,3,21,30,9,5/27/17,8/24/19,96,10,10,10,10,9,9,moderate
Castro/Upper Market,94114,Apartment,Entire home/apt,6,2,1,3,Real Bed,$229.00,,,$300.00,$110.00,4,$50.00,3,28,19,5,7/15/17,8/20/19,99,10,10,10,10,10,10,strict_14_with_grace_period
Mission,94110,Condominium,Entire home/apt,2,1,1,1,Real Bed,$335.00,,,$400.00,$60.00,2,$0.00,4,4,5,1,6/11/17,11/15/18,100,10,10,10,10,10,10,strict_14_with_grace_period
Haight Ashbury,94117,Hostel,Hotel room,2,1,1,1,Real Bed,$90.00,,,$0.00,$20.00,1,$15.00,1,25,145,57,4/8/17,9/30/19,95,9,9,10,10,10,9,moderate
Russian Hill,94109,Apartment,Entire home/apt,3,1,1,1,Real Bed,$174.00,,,$0.00,$200.00,1,$0.00,30,1125,2,0,6/22/17,2/20/18,100,10,10,10,10,10,9,strict_14_with_grace_period
Inner Richmond,94118,Apartment,Entire home/apt,2,1,1,1,Real Bed,$110.00,,,$300.00,$120.00,2,$11.00,30,1125,2,2,12/20/18,3/14/19,40,4,8,10,6,10,4,strict_14_with_grace_period
Downtown/Civic Center,94109,Apartment,Private room,2,0,1,1,Real Bed,$95.00,,,,,1,$0.00,2,1125,55,18,6/11/17,10/7/19,89,10,9,10,10,9,9,flexible
Inner Richmond,94118,House,Private room,4,1.5,1,3,Real Bed,$77.00,,,$125.00,$65.00,2,$20.00,1,29,150,45,4/20/17,10/11/19,96,10,9,10,10,9,9,moderate
Bernal Heights,94110,Condominium,Entire home/apt,4,1,2,2,Real Bed,$200.00,,,$0.00,$75.00,1,$0.00,3,1125,7,2,8/14/17,6/18/19,94,10,10,10,10,9,9,moderate
Western Addition,94115,Apartment,Private room,2,1,1,1,Real Bed,$80.00,,,$0.00,$35.00,1,$0.00,30,90,14,0,3/18/17,11/1/17,97,10,10,10,10,10,10,flexible
West of Twin Peaks,94127,House,Private room,2,1,1,1,Real Bed,$65.00,,,$250.00,$75.00,2,$25.00,3,30,21,14,3/25/17,12/31/18,100,10,10,10,10,9,10,moderate
Haight Ashbury,94117,Hostel,Hotel room,1,5,1,1,Real Bed,$50.00,,,$0.00,$15.00,1,$0.00,1,25,76,38,3/18/17,10/1/19,96,10,9,10,10,10,10,moderate
South of Market,94107,Condominium,Entire home/apt,2,1.5,1,1,Real Bed,$238.00,,,$500.00,$265.00,1,$0.00,30,1125,2,0,7/10/17,6/9/18,90,9,10,10,9,10,9,moderate
Inner Sunset,94122,Apartment,Entire home/apt,2,1,1,1,Real Bed,$121.00,,,,$100.00,2,$80.00,30,40,3,0,4/29/17,8/26/17,93,9,9,10,10,10,10,strict_14_with_grace_period
Bernal Heights,94110,House,Private room,2,1,1,1,Real Bed,$65.00,,,,$20.00,1,$0.00,1,14,312,141,4/3/17,10/9/19,99,10,10,10,10,10,10,moderate
Mission,94103,Condominium,Entire home/apt,4,1.5,3,2,Real Bed,$375.00,,,$400.00,$250.00,1,$0.00,3,28,9,7,8/15/17,8/23/19,98,10,10,10,10,10,10,strict_14_with_grace_period
Bernal Heights,94110,House,Entire home/apt,6,2,3,2,Real Bed,$190.00,,,$0.00,$125.00,1,$0.00,10,30,4,1,6/21/17,7/21/19,95,10,10,10,10,10,10,strict_14_with_grace_period
Haight Ashbury,94117,Hostel,Hotel room,2,5,1,1,Real Bed,$100.00,,,$0.00,$35.00,1,$15.00,1,25,100,47,4/9/17,9/28/19,94,10,9,10,10,10,9,moderate
Haight Ashbury,94117,Hostel,Hotel room,2,1,1,1,Real Bed,$100.00,,,$0.00,$35.00,1,$15.00,1,25,121,61,3/25/17,10/7/19,91,9,9,10,9,10,9,moderate
Mission,94103,Apartment,Private room,1,5,1,1,Real Bed,$62.00,,,$0.00,$100.00,1,$0.00,30,365,5,2,8/31/17,8/11/19,96,10,9,9,10,10,9,strict_14_with_grace_period
Inner Richmond,94118,House,Entire home/apt,4,1,1,2,Real Bed,$260.00,,,$0.00,$150.00,1,$0.00,1,30,39,3,3/21/17,11/13/18,98,10,10,10,10,10,10,strict_14_with_grace_period
Downtown/Civic Center,94102,Apartment,Private room,2,1,1,1,Real Bed,$75.00,,,,$25.00,1,$0.00,1,21,13,2,4/5/17,9/20/19,85,8,8,10,9,10,9,flexible
Downtown/Civic Center,94102,Aparthotel,Private room,2,1,1,1,Real Bed,$75.00,,,,$25.00,1,$0.00,1,21,13,4,5/2/17,9/6/19,83,9,8,9,9,10,8,flexible
Downtown/Civic Center,94102,Apartment,Private room,2,0,1,1,Real Bed,$75.00,,,,$25.00,1,$0.00,7,21,20,2,4/3/17,9/27/19,91,10,9,9,9,10,9,flexible
Downtown/Civic Center,94102,Apartment,Private room,2,0,1,1,Real Bed,$75.00,,,,$25.00,1,$0.00,7,21,25,1,4/4/17,8/31/19,85,8,9,10,9,10,9,flexible
Downtown/Civic Center,94102,Apartment,Private room,2,0,1,1,Real Bed,$73.00,,,,$25.00,1,$0.00,7,21,26,1,4/2/17,9/8/19,88,10,9,10,9,10,9,flexible
Lakeshore,94132,House,Entire home/apt,7,2,3,4,Real Bed,$295.00,,,$500.00,$150.00,6,$0.00,30,1125,20,2,5/29/17,8/14/19,89,10,9,10,10,10,9,strict_14_with_grace_period
Crocker Amazon,94112,Bungalow,Entire home/apt,4,1,1,2,Real Bed,$84.00,,,"$5,000.00",$80.00,2,$20.00,2,1125,31,10,5/3/17,7/7/19,99,10,10,10,10,9,10,moderate
South of Market,94103,House,Shared room,4,3,1,4,Real Bed,$32.00,,,$0.00,$25.00,1,$32.00,30,1125,2,0,8/19/17,8/18/18,60,5,5,10,5,10,5,strict_14_with_grace_period
Pacific Heights,94123,House,Entire home/apt,8,4.5,5,7,Real Bed,$800.00,,,"$5,000.00",$250.00,1,$0.00,60,180,0,0,,,,,,,,,,strict_14_with_grace_period
