neighbourhood_cleansed,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy
Noe Valley,94110,Guest suite,Entire home/apt,2,1,1,1,Real Bed,$107.00,,"$3,200.00",,$155.00,2,$50.00,30,1125,20,0,9/6/11,8/25/17,96,9,10,10,10,10,9,super_strict_30
Bernal Heights,94110,Apartment,Entire home/apt,2,1,0,1,Real Bed,$94.00,,"$2,300.00",$500.00,$65.00,2,$50.00,60,730,22,1,8/8/11,8/20/19,98,10,10,10,10,10,9,moderate
Mission,94110,Apartment,Entire home/apt,2,1,1,1,Real Bed,$108.00,"$1,200.00","$4,100.00",$200.00,$50.00,2,$20.00,30,400,97,2,9/12/10,3/19/19,92,10,10,10,10,9,9,strict_14_with_grace_period
Presidio Heights,94118,Apartment,Private room,1,1,1,1,Real Bed,$67.00,$470.00,"$1,550.00",,$35.00,1,$45.00,30,100,137,2,11/28/10,8/17/19,96,10,9,10,10,10,9,moderate
Castro/Upper Market,94114,House,Entire home/apt,3,1,1,1,Real Bed,$159.00,"$1,199.00","$4,299.00",$150.00,$120.00,3,$0.00,4,29,54,15,9/5/10,7/24/19,94,10,9,10,10,10,10,flexible
Bernal Heights,94110,House,Private room,2,2,1,1,Real Bed,$127.00,$875.00,,$0.00,$50.00,2,$50.00,3,30,255,42,9/1/10,10/12/19,98,10,10,10,10,10,10,moderate
Mission,94110,Apartment,Entire home/apt,4,1,2,2,Real Bed,$290.00,"$2,450.00","$7,500.00","$2,000.00",$120.00,1,$0.00,30,365,79,9,11/4/12,3/15/19,96,10,10,10,10,9,9,moderate
Glen Park,94131,House,Entire home/apt,3,1,0,1,Real Bed,$136.00,$690.00,"$2,500.00",,,1,$0.00,30,90,148,2,8/27/10,8/8/19,89,9,8,9,9,9,9,moderate
Bernal Heights,94110,Apartment,Entire home/apt,2,1,0,2,Real Bed,$85.00,,"$2,500.00",$0.00,$155.00,2,$50.00,30,1125,6,0,10/22/11,6/1/17,93,10,10,10,10,10,10,super_strict_30
Bernal Heights,94110,House,Entire home/apt,2,1,1,2,Real Bed,$85.00,,"$2,500.00",,$155.00,2,$50.00,30,365,4,0,9/26/11,4/6/16,87,9,8,10,10,8,7,super_strict_30
Mission,94110,Apartment,Entire home/apt,2,1.5,1,1,Futon,$104.00,$600.00,,$200.00,$0.00,1,$0.00,10,28,11,2,1/2/12,8/19/19,91,9,9,10,10,10,9,moderate
Potrero Hill,94107,Guest suite,Entire home/apt,3,1,2,2,Real Bed,$150.00,,"$4,500.00",$0.00,$205.00,4,$50.00,30,1125,2,0,2/28/14,8/20/17,80,5,8,10,8,7,8,super_strict_30
Haight Ashbury,94117,Guest suite,Entire home/apt,2,1,2,2,Real Bed,$110.00,,"$3,300.00",$0.00,$244.00,2,$50.00,30,1125,8,0,9/21/10,7/14/18,56,8,7,8,7,7,7,super_strict_30
Mission,94110,Apartment,Entire home/apt,2,1,1,2,Real Bed,$95.00,,"$2,450.00","$2,000.00",$75.00,1,$0.00,30,98,283,4,8/21/10,8/25/19,97,10,10,10,10,10,10,strict_14_with_grace_period
Mission,94110,Apartment,Entire home/apt,4,1,1,2,Real Bed,$175.00,"$1,200.00","$3,750.00","$1,000.00",$120.00,2,$10.00,30,60,3,0,8/20/10,10/4/10,100,,,,,,,strict_14_with_grace_period
Castro/Upper Market,94114,Guest suite,Entire home/apt,2,1,0,2,Real Bed,$116.00,$900.00,"$3,500.00",$100.00,$75.00,1,$0.00,3,30,140,26,8/17/10,9/30/19,94,10,9,10,10,10,9,moderate
